epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.5491,2.03919,4.14829,0.03301,0.55375,0.06166,0.07965,0.05207,2.26911,4.00757,0.04665,0.0098,0.00326667,0.0098,0.00326667,0.0098,0.00326667,0.0098,0.00326667
2,19.0877,1.69128,2.76397,0.02541,0.44016,0.26486,0.25042,0.11678,1.81889,2.71464,0.03562,0.0197961,0.00659869,0.0197961,0.00659869,0.0197961,0.00659869,0.0197961,0.00659869
3,25.8796,1.61963,2.20261,0.02385,0.21333,0.12573,0.12181,0.04956,2.45571,3.93834,0.05264,0.0297882,0.0099294,0.0297882,0.0099294,0.0297882,0.0099294,0.0297882,0.0099294
4,32.1936,1.69437,2.06521,0.0255,0.27606,0.09994,0.0839,0.04445,2.81853,4.49423,0.06763,0.0299822,0.00999406,0.0299822,0.00999406,0.0299822,0.00999406,0.0299822,0.00999406
5,38.5872,1.72611,1.87919,0.02616,0.89344,0.1142,0.15484,0.07314,2.2844,4.99778,0.04651,0.0299762,0.00999208,0.0299762,0.00999208,0.0299762,0.00999208,0.0299762,0.00999208
6,45.0323,1.70429,1.78906,0.02569,0.21495,0.29052,0.22749,0.10055,2.297,3.08086,0.04413,0.0299703,0.0099901,0.0299703,0.0099901,0.0299703,0.0099901,0.0299703,0.0099901
7,51.4458,1.69665,1.72545,0.02549,0.61046,0.24638,0.2214,0.10519,2.11278,3.13341,0.04341,0.0299644,0.00998812,0.0299644,0.00998812,0.0299644,0.00998812,0.0299644,0.00998812
8,57.7145,1.66644,1.69495,0.02487,0.35543,0.50374,0.41939,0.19507,1.92556,2.1249,0.03565,0.0299584,0.00998614,0.0299584,0.00998614,0.0299584,0.00998614,0.0299584,0.00998614
9,63.8255,1.68839,1.65831,0.02533,0.38296,0.40843,0.37242,0.1661,2.08815,2.51547,0.04014,0.0299525,0.00998416,0.0299525,0.00998416,0.0299525,0.00998416,0.0299525,0.00998416
10,70.1756,1.66683,1.63567,0.02496,0.49884,0.55423,0.49546,0.2262,1.8003,1.94341,0.03618,0.0299465,0.00998218,0.0299465,0.00998218,0.0299465,0.00998218,0.0299465,0.00998218
11,76.6647,1.65206,1.6281,0.02485,0.40797,0.46161,0.40528,0.19276,1.92697,2.07959,0.0355,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
12,83.0307,1.65453,1.56476,0.02483,0.4447,0.29334,0.32986,0.15445,2.07599,2.36299,0.04323,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822
13,89.1187,1.61884,1.58821,0.02453,0.63858,0.46021,0.45725,0.21847,1.92395,2.23711,0.03693,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624
14,95.6474,1.58473,1.55699,0.02395,0.43827,0.53573,0.46721,0.25427,1.85135,1.92827,0.03418,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426
15,102.077,1.59615,1.54096,0.02379,0.3723,0.3744,0.34699,0.15949,2.03775,2.78949,0.03833,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228
16,108.578,1.60871,1.53055,0.02407,0.45521,0.4275,0.43814,0.22321,1.75025,1.83911,0.03308,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
17,115.122,1.57799,1.5262,0.02327,0.57904,0.46656,0.50471,0.25915,1.67536,1.91029,0.03183,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832
18,120.602,1.58787,1.51775,0.0232,0.54986,0.47092,0.50602,0.25813,1.7033,1.95707,0.03051,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634
19,127.079,1.57838,1.46669,0.023,0.52378,0.50071,0.51856,0.26735,1.72274,1.86647,0.03256,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436
20,133.636,1.56635,1.45542,0.02285,0.34858,0.34524,0.31426,0.16851,1.95054,2.51981,0.03822,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238
